Country code,State,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NY,10523,,8.38,NY10523,1,0,1,
US,NY,10524,,8.38,NY10524,1,0,1,
US,NY,10526,,8.38,NY10526,1,0,1,
US,NY,10527,,8.38,NY10527,1,0,1,
US,NY,10528,,8.38,NY10528,1,0,1,
US,NY,10530,,8.38,NY10530,1,0,1,
US,NY,10532,,8.38,NY10532,1,0,1,
US,NY,10533,,8.38,NY10533,1,0,1,
US,NY,10535,,8.38,NY10535,1,0,1,
US,NY,10536,,8.38,NY10536,1,0,1,
US,NY,10537,,8.38,NY10537,1,0,1,
US,NY,10538,,8.38,NY10538,1,0,1,
US,NY,10540,,8.38,NY10540,1,0,1,
US,NY,10541,,8.38,NY10541,1,0,1,
US,NY,10542,,8.38,NY10542,1,0,1,
US,NY,10543,,8.38,NY10543,1,0,1,
US,NY,10545,,8.38,NY10545,1,0,1,
US,NY,10546,,8.38,NY10546,1,0,1,
US,NY,10547,,8.38,NY10547,1,0,1,
US,NY,10548,,8.38,NY10548,1,0,1,
US,NY,10549,,8.38,NY10549,1,0,1,
US,NY,10550,,8.88,NY10550,1,0,1,
US,NY,10551,,8.38,NY10551,1,0,1,
US,NY,10552,,8.38,NY10552,1,0,1,
US,NY,10553,,8.38,NY10553,1,0,1,
US,NY,10560,,8.38,NY10560,1,0,1,
US,NY,10562,,8.38,NY10562,1,0,1,
US,NY,10566,,8.38,NY10566,1,0,1,
US,NY,10567,,8.38,NY10567,1,0,1,
US,NY,10570,,8.38,NY10570,1,0,1,
US,NY,10573,,8.38,NY10573,1,0,1,
US,NY,10576,,8.38,NY10576,1,0,1,
US,NY,10577,,8.38,NY10577,1,0,1,
US,NY,10578,,8.38,NY10578,1,0,1,
US,NY,10579,,8.38,NY10579,1,0,1,
US,NY,10580,,8.38,NY10580,1,0,1,
US,NY,10583,,8.88,NY10583,1,0,1,
US,NY,10587,,8.38,NY10587,1,0,1,
US,NY,10588,,8.38,NY10588,1,0,1,
US,NY,10589,,8.38,NY10589,1,0,1,
US,NY,10590,,8.38,NY10590,1,0,1,
US,NY,10591,,8.38,NY10591,1,0,1,
US,NY,10594,,8.38,NY10594,1,0,1,
US,NY,10595,,8.38,NY10595,1,0,1,
US,NY,10596,,8.38,NY10596,1,0,1,
US,NY,10597,,8.38,NY10597,1,0,1,
US,NY,10598,,8.38,NY10598,1,0,1,
US,NY,10601,,8.38,NY10601,1,0,1,
US,NY,10602,,8.38,NY10602,1,0,1,
US,NY,10603,,8.38,NY10603,1,0,1,
US,NY,10604,,8.38,NY10604,1,0,1,
US,NY,10605,,8.38,NY10605,1,0,1,
US,NY,10606,,8.38,NY10606,1,0,1,
US,NY,10607,,8.38,NY10607,1,0,1,
US,NY,10610,,8.38,NY10610,1,0,1,
US,NY,10701,,8.88,NY10701,1,0,1,
US,NY,10702,,8.88,NY10702,1,0,1,
US,NY,10703,,8.88,NY10703,1,0,1,
US,NY,10704,,8.88,NY10704,1,0,1,
US,NY,10705,,8.88,NY10705,1,0,1,
US,NY,10706,,8.88,NY10706,1,0,1,
US,NY,10707,,8.88,NY10707,1,0,1,
US,NY,10708,,8.88,NY10708,1,0,1,
US,NY,10709,,8.38,NY10709,1,0,1,
US,NY,10710,,8.88,NY10710,1,0,1,
US,NY,10801,,8.38,NY10801,1,0,1,
US,NY,10802,,8.38,NY10802,1,0,1,
US,NY,10803,,8.88,NY10803,1,0,1,
US,NY,10804,,8.38,NY10804,1,0,1,
US,NY,10805,,8.38,NY10805,1,0,1,
US,NY,10901,,8.38,NY10901,1,0,1,
US,NY,10910,,8.13,NY10910,1,0,1,
US,NY,10911,,8.38,NY10911,1,0,1,
US,NY,10912,,8.13,NY10912,1,0,1,
US,NY,10913,,8.38,NY10913,1,0,1,
US,NY,10914,,8.13,NY10914,1,0,1,
US,NY,10915,,8.13,NY10915,1,0,1,
US,NY,10916,,8.13,NY10916,1,0,1,
US,NY,10917,,8.13,NY10917,1,0,1,
US,NY,10918,,8.13,NY10918,1,0,1,
